x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,label,timestamp,session_tag
0.0,0.0,0.0,-0.323574,-0.307832,-0.092474,-0.522091,-0.721618,-0.141755,-0.555506,-1.054151,-0.201768,-0.529584,-1.330862,-0.241816,-0.212245,-1.04112,0.022581,-0.358381,-1.200589,-0.179133,-0.416557,-0.895146,-0.313781,-0.42978,-0.632021,-0.365463,0.025786,-0.999662,0.003454,-0.172946,-1.11802,-0.216977,-0.229478,-0.754189,-0.297279,-0.23418,-0.468034,-0.291371,0.249271,-0.923561,-0.047337,0.01682,-0.975645,-0.257961,-0.037874,-0.625228,-0.244258,-0.045678,-0.360941,-0.167872,0.455509,-0.811131,-0.108063,0.219725,-0.865282,-0.258297,0.152424,-0.611644,-0.242537,0.16202,-0.419623,-0.177142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,1789279327.5272,source_public_zip
0.0,0.0,0.0,-0.351578,-0.29096,-0.102815,-0.56406,-0.702172,-0.155297,-0.601003,-1.066091,-0.214131,-0.574376,-1.353009,-0.251103,-0.254904,-1.022909,-0.011626,-0.405242,-1.227732,-0.195002,-0.461992,-0.929759,-0.303489,-0.461303,-0.678129,-0.342674,-0.002469,-0.999788,-0.020438,-0.228282,-1.125447,-0.227355,-0.284613,-0.76379,-0.293595,-0.27776,-0.479754,-0.282999,0.226349,-0.949068,-0.058892,-0.038109,-0.979,-0.265799,-0.082174,-0.624012,-0.254386,-0.072549,-0.351569,-0.182915,0.436965,-0.859837,-0.107122,0.167586,-0.872572,-0.267728,0.105305,-0.605446,-0.267039,0.122028,-0.402805,-0.212755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,1789279327.5628,source_public_zip
0.0,0.0,0.0,-0.353344,-0.312501,-0.106838,-0.563734,-0.785312,-0.158896,-0.637564,-1.160367,-0.221701,-0.629682,-1.453234,-0.259814,-0.377493,-1.033771,-0.011433,-0.349665,-1.395328,-0.217968,-0.299515,-1.13299,-0.340875,-0.288352,-0.843925,-0.378859,-0.097906,-0.994567,-0.03538,-0.059232,-1.345476,-0.260647,-0.043916,-0.998881,-0.355601,-0.081741,-0.680244,-0.356874,0.166921,-0.924874,-0.088714,0.183184,-1.172267,-0.313985,0.167812,-0.804335,-0.323254,0.117856,-0.511824,-0.257287,0.401651,-0.833305,-0.150017,0.384598,-1.044547,-0.321519,0.358458,-0.803977,-0.314099,0.322257,-0.584529,-0.254387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,1789279327.6097,source_public_zip
0.0,0.0,0.0,-0.353579,-0.313574,-0.124784,-0.560952,-0.754856,-0.190662,-0.572925,-1.123193,-0.267938,-0.481574,-1.40867,-0.318773,-0.23998,-1.058926,0.013968,-0.326132,-1.301642,-0.219053,-0.363263,-1.000567,-0.359835,-0.37563,-0.728928,-0.408144,0.007386,-0.999961,-0.004858,-0.123444,-1.209582,-0.26097,-0.16897,-0.821249,-0.343789,-0.18285,-0.516478,-0.327988,0.24978,-0.901067,-0.062476,0.091494,-1.050411,-0.30531,0.020161,-0.661153,-0.275244,-0.008916,-0.379882,-0.17661,0.482908,-0.759728,-0.133932,0.293772,-0.866674,-0.293774,0.196184,-0.604277,-0.264434,0.17743,-0.407415,-0.187315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,1789279327.6425,source_public_zip
0.0,0.0,0.0,-0.343313,-0.305304,-0.109266,-0.537887,-0.741446,-0.1638,-0.539473,-1.090829,-0.22855,-0.440494,-1.358768,-0.267147,-0.213737,-1.054284,0.030781,-0.294158,-1.256722,-0.183657,-0.331505,-0.969253,-0.315792,-0.344119,-0.711739,-0.361736,0.025849,-0.99962,0.009557,-0.107981,-1.161404,-0.226127,-0.14185,-0.788335,-0.301701,-0.150378,-0.498998,-0.285355,0.257971,-0.904167,-0.048358,0.096416,-1.007325,-0.275,0.038587,-0.63917,-0.244588,0.014339,-0.372639,-0.150199,0.478677,-0.765742,-0.11862,0.296521,-0.85961,-0.270104,0.197123,-0.596276,-0.238129,0.170092,-0.396814,-0.160998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,1789279327.6732,source_public_zip
0.0,0.0,0.0,-0.34723,-0.322886,-0.115132,-0.551626,-0.764923,-0.180688,-0.562133,-1.123413,-0.259733,-0.480114,-1.411726,-0.312941,-0.219671,-1.07043,0.021407,-0.310508,-1.303328,-0.207524,-0.358968,-1.006614,-0.345491,-0.381433,-0.738953,-0.391299,0.022591,-0.999739,-0.00328,-0.11097,-1.204141,-0.255348,-0.165744,-0.821532,-0.336983,-0.187761,-0.521719,-0.321308,0.261156,-0.891772,-0.065631,0.093944,-1.049847,-0.301179,0.021075,-0.669787,-0.268687,-0.009256,-0.39251,-0.170418,0.492182,-0.744146,-0.140901,0.304037,-0.883834,-0.293793,0.210542,-0.6286,-0.25826,0.193729,-0.429358,-0.177788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,1789279327.7035,source_public_zip
0.0,0.0,0.0,-0.352853,-0.305911,-0.108824,-0.563778,-0.736032,-0.162629,-0.576383,-1.093213,-0.228341,-0.485653,-1.367388,-0.26653,-0.248144,-1.055329,0.041193,-0.337515,-1.278616,-0.168667,-0.370897,-0.987142,-0.296979,-0.376655,-0.725259,-0.340897,-0.005716,-0.999816,0.018285,-0.140587,-1.188023,-0.21895,-0.177901,-0.816778,-0.29618,-0.18284,-0.526706,-0.280228,0.231108,-0.901616,-0.041538,0.077724,-1.042311,-0.265824,0.015151,-0.67148,-0.231777,-0.006658,-0.400904,-0.135443,0.460564,-0.758308,-0.114329,0.287208,-0.875741,-0.26365,0.187125,-0.615808,-0.229811,0.164601,-0.41798,-0.152222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,1789279327.7352,source_public_zip
0.0,0.0,0.0,-0.363529,-0.300098,-0.128318,-0.591203,-0.737837,-0.195221,-0.618185,-1.102349,-0.270855,-0.529073,-1.382692,-0.317385,-0.277988,-1.054538,0.003428,-0.355031,-1.311453,-0.224229,-0.380712,-1.021745,-0.358047,-0.383969,-0.752424,-0.402384,-0.024997,-0.999602,-0.013059,-0.140154,-1.199035,-0.262999,-0.169994,-0.816042,-0.339191,-0.175152,-0.522489,-0.322045,0.220384,-0.904361,-0.068167,0.086751,-1.05464,-0.307226,0.024446,-0.672217,-0.270246,-0.000978,-0.397111,-0.169401,0.455674,-0.768504,-0.13722,0.297917,-0.907143,-0.296202,0.193978,-0.643405,-0.259074,0.163487,-0.439189,-0.177498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,1789279327.7681,source_public_zip
0.0,0.0,0.0,-0.374559,-0.296933,-0.124829,-0.602826,-0.73622,-0.18999,-0.625387,-1.097391,-0.267343,-0.537771,-1.37672,-0.316183,-0.292713,-1.058925,0.019625,-0.361886,-1.309708,-0.215196,-0.386232,-1.009922,-0.356075,-0.385537,-0.740805,-0.403421,-0.039679,-0.999211,-0.001436,-0.143802,-1.210702,-0.262377,-0.170354,-0.816816,-0.343337,-0.168555,-0.51804,-0.324969,0.208643,-0.903184,-0.062625,0.090373,-1.071737,-0.310812,0.027399,-0.678224,-0.273425,0.003801,-0.399737,-0.167726,0.451684,-0.767851,-0.137425,0.309858,-0.919208,-0.297785,0.210731,-0.65045,-0.258315,0.186185,-0.447139,-0.17339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,1789279327.7995,source_public_zip
0.0,0.0,0.0,-0.365735,-0.284325,-0.118609,-0.595368,-0.722827,-0.175683,-0.63236,-1.083672,-0.242698,-0.555762,-1.365754,-0.282169,-0.30177,-1.045573,0.022149,-0.376057,-1.286981,-0.203013,-0.382582,-0.993366,-0.338898,-0.377493,-0.723816,-0.383858,-0.046628,-0.998911,0.001565,-0.145972,-1.199539,-0.250047,-0.166946,-0.821292,-0.330737,-0.171565,-0.522931,-0.312722,0.201215,-0.909742,-0.056828,0.082681,-1.053762,-0.302178,0.029121,-0.668866,-0.271112,0.003383,-0.389797,-0.169537,0.441101,-0.780035,-0.126576,0.298192,-0.914259,-0.292531,0.206281,-0.640518,-0.254558,0.177789,-0.427995,-0.168617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,1789279327.8299,source_public_zip
